GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
A1_REV,COUNTY GOVERNMENT AMOUNT; Revenue
A2_REV,MUNICIPAL GOVERNMENT AMOUNT; Revenue
A3_REV,TOWNSHIP GOVERNMENT AMOUNT; Revenue
A4_REV,SPECIAL DISTRICT GOVERNMENT AMOUNT; Revenue
A5_REV,SCHOOL DISTRICT GOVERNMENT AMOUNT; Revenue
A1_GENREV,COUNTY GOVERNMENT AMOUNT; Revenue - General revenue
A2_GENREV,MUNICIPAL GOVERNMENT AMOUNT; Revenue - General revenue
A3_GENREV,TOWNSHIP GOVERNMENT AMOUNT; Revenue - General revenue
A4_GENREV,SPECIAL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue
A5_GENREV,SCHOOL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue
A1_INTERGOV,COUNTY GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue
A2_INTERGOV,MUNICIPAL GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue
A3_INTERGOV,TOWNSHIP GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue
A4_INTERGOV,SPECIAL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue
A5_INTERGOV,SCHOOL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue
A1_FROMFED,COUNTY GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From Federal
A2_FROMFED,MUNICIPAL GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From Federal
A3_FROMFED,TOWNSHIP GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From Federal
A4_FROMFED,SPECIAL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From Federal
A5_FROMFED,SCHOOL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From Federal
A1_FROMSTAT,COUNTY GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From State
A2_FROMSTAT,MUNICIPAL GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From State
A3_FROMSTAT,TOWNSHIP GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From State
A4_FROMSTAT,SPECIAL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From State
A5_FROMSTAT,SCHOOL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From State
A1_FROMLOC,COUNTY GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From Local
A2_FROMLOC,MUNICIPAL GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From Local
A3_FROMLOC,TOWNSHIP GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From Local
A4_FROMLOC,SPECIAL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From Local
A5_FROMLOC,SCHOOL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue - Intergovernmental revenue - From Local
A1_GENREVFROM,COUNTY GOVERNMENT AMOUNT; Revenue - General revenue - General revenue from own sources
A2_GENREVFROM,MUNICIPAL GOVERNMENT AMOUNT; Revenue - General revenue - General revenue from own sources
A3_GENREVFROM,TOWNSHIP GOVERNMENT AMOUNT; Revenue - General revenue - General revenue from own sources
A4_GENREVFROM,SPECIAL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue - General revenue from own sources
A5_GENREVFROM,SCHOOL DISTRICT GOVERNMENT AMOUNT; Revenue - General revenue - General revenue from own sources
A1_TAXES,COUNTY GOVERNMENT AMOUNT; Revenue - General revenue - General revenue from own sources - Taxes
A2_TAXES,MUNICIPAL GOVERNMENT AMOUNT; Revenue - General revenue - General revenue from own sources - Taxes
A3_TAXES,TOWNSHIP GOVERNMENT AMOUNT; Revenue - General revenue - General revenue from own sources - Taxes
