,,,,July 2013 ACS-Like Poverty Universe for 2013 Estimates,,,,July 2012 ACS-Like Poverty Universe for 2012 Estimates,,,,July 2011 ACS-Like Poverty Universe for 2011 Estimates,,,,July 2010 ACS-Like Poverty Universe for 2010 Estimates,,,,July 2009 ACS-Like Poverty Universe for 2009 Estimates,,,,July 2008 ACS-Like Poverty Universe for 2008 Estimates,,,,July 2007 ACS-Like Poverty Universe for 2007 Estimates,,,,July 2006 ACS-Like Poverty Universe for 2006 Estimates,,,,July 2005 ACS-Like Poverty Universe for 2005 Estimates,,,,July 2005 CPS-Like Poverty Universe for IY 2004 Estimates,,,,July 2004 CPS-Like Poverty Universe for IY 2003 Estimates,,,,July 2003 CPS-Like Poverty Universe for IY 2002 Estimates,,,,July 2002 CPS-Like Poverty Universe for IY 2001 Estimates,,,,July 2001 CPS-Like Poverty Universe for IY 2000 Estimates,,,,July 2000 CPS-Like Poverty Universe for IY 1999 Estimates,,,,July 1999 CPS-Like Poverty Universe for IY 1998 Estimates,,,
State FIPS code,County FIPS code,Name,State Postal Code,"Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4","Poverty Universe, All Ages","Poverty Universe, Age 5-17 related","Poverty Universe, Age 0-17","Poverty Universe, Age 0-4"
0,0,United States,US,"308,196,783","52,605,987","72,382,173","19,438,875","306,086,063","52,675,863","72,605,436","19,611,275","303,778,193","52,708,799","72,802,773","19,772,854","301,535,021","52,872,735","73,024,577","19,822,633","299,026,555","52,143,306","73,347,404","20,878,285","296,184,480","51,864,080","72,825,003","20,602,241","293,744,043","51,904,411","72,665,911","20,348,501","291,531,091","51,999,081","72,482,732","20,066,651","287,270,432","51,658,744","72,023,983","19,959,312","290,616,537","52,159,407","73,241,407","20,121,433","287,699,184","52,278,842","72,999,159","19,763,309","285,317,346","52,168,584","72,695,775","19,594,188","281,474,939","51,820,491","72,020,548","19,257,993","278,944,452","51,548,879","71,741,141","19,181,906","276,207,757","51,642,359","71,684,956","18,968,750","271,059,449","51,060,953","71,338,364","19,382,484"
1,0,Alabama,AL,"4,716,072","801,058","1,096,240","291,362","4,706,967","808,562","1,111,278","299,413","4,687,327","812,029","1,114,604","298,962","4,667,040","811,713","1,115,210","299,655","4,588,886","800,884","1,115,169","311,058","4,541,753","794,750","1,105,914","305,031","4,506,569","797,945","1,105,467","302,511","4,482,161","796,679","1,097,080","294,334","4,429,785","772,561","1,072,696","293,225","4,463,171","775,423","1,082,849","295,125","4,436,894","788,134","1,091,889","293,161","4,414,359","798,787","1,104,233","297,647","4,373,427","797,182","1,096,934","289,881","4,371,402","800,291","1,104,080","296,196","4,368,014","804,291","1,120,718","293,558","4,348,444","789,510","1,088,427","295,264"
1,1,Autauga County,AL,"54,762","10,532","13,903",,"55,059","10,725","14,309",,"54,819","10,701","14,295",,"54,145","10,892","14,464",,"50,460","10,452","13,988",,"50,043","9,554","13,031",,"49,609","9,661","13,165",,"49,389","9,501","12,840",,"48,211","9,186","12,417",,"48,508","9,218","12,529",,"47,381","9,370","12,537",,"46,472","9,385","12,611",,"45,396","9,304","12,430",,"44,570","9,266","12,377",,"43,711","9,245","12,507",,"43,524","8,856","12,148",
1,3,Baldwin County,AL,"192,931","32,113","43,240",,"188,262","31,455","42,580",,"184,184","30,977","42,089",,"180,560","30,277","41,419",,"177,564","29,672","41,158",,"172,028","28,988","40,254",,"169,457","28,881","39,800",,"166,817","27,551","37,442",,"159,896","26,289","35,919",,"161,041","26,385","36,253",,"155,207","26,215","35,570",,"150,553","26,077","35,435",,"146,361","25,828","34,869",,"143,152","25,561","34,503",,"139,273","25,048","34,302",,"136,585","24,609","33,859",
1,5,Barbour County,AL,"23,617","4,082","5,644",,"23,749","4,191","5,707",,"23,870","4,192","5,856",,"24,146","4,245","5,928",,"26,432","4,680","6,527",,"26,112","4,753","6,490",,"24,714","4,586","6,253",,"25,217","4,854","6,550",,"25,457","4,731","6,457",,"25,587","4,749","6,516",,"25,740","4,903","6,826",,"26,039","5,075","7,049",,"26,081","5,167","7,071",,"26,349","5,306","7,148",,"26,480","5,422","7,341",,"25,482","5,138","6,966",
1,7,Bibb County,AL,"20,266","3,491","4,679",,"20,357","3,566","4,768",,"20,534","3,648","4,916",,"20,620","3,704","5,059",,"20,261","3,689","4,974",,"20,292","3,699","5,013",,"20,185","3,743","5,036",,"20,199","3,738","5,051",,"20,221","3,703","5,048",,"20,333","3,717","5,093",,"20,142","3,762","5,219",,"20,061","3,746","5,238",,"19,793","3,702","5,147",,"20,043","3,743","5,196",,"19,906","3,723","5,271",,"19,620","4,020","5,395",
1,9,Blount County,AL,"57,315","10,112","13,648",,"57,302","10,239","13,782",,"57,159","10,372","13,954",,"56,783","10,319","13,921",,"57,751","10,249","13,952",,"56,816","9,905","13,576",,"55,963","9,891","13,479",,"55,793","9,752","13,180",,"54,951","9,491","12,908",,"55,351","9,526","13,029",,"54,635","9,651","13,110",,"53,862","9,681","13,209",,"52,531","9,531","12,999",,"51,745","9,412","13,010",,"50,821","9,151","12,919",,"47,807","8,459","11,702",
1,11,Bullock County,AL,"8,878","1,542","2,205",,"8,804","1,501","2,198",,"8,875","1,551","2,279",,"9,216","1,660","2,380",,"9,297","1,797","2,680",,"9,141","1,688","2,493",,"9,268","1,750","2,537",,"9,336","1,900","2,647",,"9,488","1,839","2,577",,"9,533","1,846","2,600",,"9,711","1,955","2,704",,"9,836","2,040","2,823",,"9,779","2,055","2,811",,"9,966","2,133","2,887",,"10,259","2,262","3,064",,"10,383","2,282","3,182",
1,13,Butler County,AL,"19,911","3,440","4,680",,"19,965","3,408","4,658",,"20,309","3,494","4,838",,"20,597","3,614","4,977",,"19,673","3,487","4,896",,"19,787","3,386","4,756",,"19,844","3,464","4,830",,"20,206","3,639","4,968",,"20,433","3,595","5,000",,"20,550","3,608","5,045",,"20,556","3,696","5,076",,"20,516","3,835","5,282",,"20,541","3,936","5,292",,"20,934","4,100","5,483",,"21,258","4,280","5,749",,"21,650","4,656","6,221",
1,15,Calhoun County,AL,"113,709","18,712","25,447",,"114,406","19,118","26,175",,"114,859","19,351","26,446",,"115,503","19,437","26,575",,"111,359","18,654","26,185",,"110,694","18,211","25,757",,"110,251","18,308","25,747",,"110,454","18,316","25,772",,"109,366","17,618","24,857",,"110,254","17,686","25,105",,"110,582","18,186","25,512",,"110,335","18,449","25,886",,"109,234","18,379","25,516",,"109,317","18,344","25,458",,"110,699","18,879","26,247",,"114,285","20,479","27,816",
1,17,Chambers County,AL,"33,694","5,234","7,197",,"33,613","5,428","7,366",,"33,492","5,540","7,444",,"33,689","5,638","7,558",,"33,766","5,590","7,624",,"33,847","5,810","7,842",,"34,169","5,939","8,057",,"34,577","6,169","8,321",,"34,825","6,089","8,287",,"35,036","6,112","8,362",,"35,157","6,203","8,429",,"35,394","6,352","8,568",,"35,606","6,332","8,612",,"36,031","6,419","8,819",,"36,287","6,419","9,003",,"36,639","6,755","9,065",
1,19,Cherokee County,AL,"25,863","4,114","5,369",,"25,696","4,119","5,368",,"25,733","4,137","5,457",,"25,652","4,109","5,484",,"24,071","3,804","5,076",,"24,153","3,780","5,111",,"24,158","3,827","5,187",,"24,460","3,859","5,213",,"24,112","3,784","5,116",,"24,240","3,798","5,162",,"24,252","3,853","5,299",,"24,193","3,888","5,366",,"23,977","3,818","5,280",,"23,851","3,808","5,273",,"23,787","3,793","5,336",,"22,188","3,775","5,005",
1,21,Chilton County,AL,"43,486","7,643","10,465",,"43,376","7,759","10,661",,"43,456","7,782","10,748",,"43,215","7,813","10,774",,"42,535","7,513","10,368",,"41,984","7,343","10,175",,"41,817","7,403","10,212",,"41,477","7,329","10,064",,"41,229","7,172","9,865",,"41,471","7,199","9,955",,"41,209","7,361","10,049",,"40,682","7,381","10,053",,"40,074","7,301","9,976",,"39,761","7,268","10,057",,"39,456","7,179","10,105",,"37,883","7,177","9,738",
1,23,Choctaw County,AL,"13,274","2,140","2,803",,"13,488","2,238","2,955",,"13,465","2,291","2,988",,"13,668","2,347","3,083",,"13,836","2,408","3,243",,"13,894","2,296","3,087",,"14,005","2,347","3,158",,"14,485","2,554","3,423",,"14,638","2,540","3,464",,"14,707","2,549","3,496",,"15,145","2,690","3,700",,"15,215","2,766","3,812",,"15,329","2,833","3,834",,"15,584","2,922","3,949",,"15,880","2,974","4,156",,"15,758","3,248","4,288",
1,25,Clarke County,AL,"24,911","4,389","5,767",,"24,879","4,519","5,918",,"25,415","4,770","6,196",,"25,466","4,845","6,298",,"25,671","5,017","6,591",,"25,917","4,873","6,490",,"26,094","5,030","6,726",,"26,845","5,253","7,014",,"26,831","5,149","7,047",,"27,001","5,168","7,111",,"27,165","5,341","7,274",,"27,272","5,420","7,525",,"27,219","5,449","7,506",,"27,475","5,527","7,630",,"27,697","5,628","7,854",,"28,942","6,221","8,193",
