APayroll_mean,APayroll_std,Establishment_mean,Establishment_std,county_health_exp,income,municipal_health_exp,pov,revenue,state,performance
439.4504132,3396.291729,3.483471074,6.0091145,163330,36187,1908,24241,4260824,40,nominal
17689.20842,72627.11023,39.73701512,123.3399581,44739,53420,8488,406670,1022630,13,better
525.8808319,2607.100307,3.811691962,7.17975519,69497,36723.5,105591,17384.75,1793454,36,worse
4399.00351,30176.81833,10.05615442,39.30528538,1120699,45047.41667,167436,66286.16667,6107243,48,nominal
1246.152778,4887.870928,6.69212963,15.1057342,570809.405,54683,1198,34189,18760,46,nominal
4314.033302,24513.36547,12.74119886,33.55427169,163330,43876,1908,161658,4260824,40,nominal
375.5456274,1549.429267,3.745247148,6.815369622,550453,41784,66703,15483,7161676,23,nominal
9961.404009,49367.31344,22.50501157,67.52904163,945978,39614,150030,241057,26734290,9,better
4586.088061,20797.21747,13.38611346,36.56619181,1493425,43001,10435,150342,26346495,27,nominal
94646.86838,358825.6304,104.4490028,359.8635116,7983749,72128,1742437,1549789,71170951,4,worse
684.8858521,3027.097007,3.8585209,6.938602355,201799,37484,61864,15126,3931577,5,nominal
15804.17356,69180.71463,23.28282374,81.10501211,15408,49110.5,10031,163219.5,1439480,50,better
5324.433206,21596.03063,11.94465649,31.01090159,604123,70032,333100,96915,19259927,45,nominal
1316.74553,5867.435828,5.385144429,11.68869386,95989,33467,6970,36465,3593979,25,nominal
19728.74349,91604.21691,21.46189591,73.05498049,604123,85562,333100,147057,19259927,45,nominal
274.0138889,797.4071683,3.277777778,5.057943426,2985764,38821,87281,8528,10561683,22,nominal
578.3648393,2351.012519,3.894139887,6.610378639,416996,44673,43585,13840,3292001,12,nominal
3673.187996,21255.36732,9.80141218,25.39901221,2985764,55274,87281,111248,10561683,22,nominal
1742.447879,8748.714314,7.458787879,18.86319999,2399276,40921.5,1365982,54649.5,24965631,34,worse
358.2068063,1749.808756,3.222513089,5.132857787,604123,41034.5,333100,13341,19259927,45,nominal
90826.98446,374185.2095,95.81127733,322.2853144,1551153,51400,1401569,1197357,9526884,38,better
9667.585993,50302.50743,17.15560576,60.95743922,2153358,42183,186577,122109,12226715,35,better
